Lugar,lat,lon,
Fundidora,25.67853036,-100.2842749,
Tec,25.65144189,-100.2898005,
UANL,25.72499985,-100.3135446,
UDEM,25.66278846,-100.4193706,
Estanzuela,25.55045265,-100.2704159,
Alpino Chipinque,25.62778206,-100.3642247,
Costco,25.63960401,-100.3179437,
Macroplaza,25.66831183,-100.3100425,
Parque Rufino Tamayo,25.64503314,-100.3298653,
Galerias Monterrey,25.6812409,-100.354629,
Estadio BBVA,25.66888605,-100.2446938,
Topgolf,25.66726062,-100.3842015,
Cueva de los murcielago,25.43286816,-100.1146881,
Hospital OCA,25.68155435,-100.317959,
Casa de Elida,25.80336573,-100.3084472,
